評論者,評分,時間,內容,店家名稱,店家ID
哈利不是波特,4,5 個月前,"🏠位於A11的B2樓層，內用區域主要為吧台位置及些許四人桌，吧台位置可近距離看到炒麵及大阪燒製作過程，平日晚間八點來訪，為滿座情況。

📝菜單，包括各式炒麵、大阪燒及各式單點小食，QRCODE點餐，有些客製選項，用餐後結帳，可刷卡。

🍳Bokkake經典大阪燒，上頭鋪滿飛舞的柴魚片，麵糊鬆軟調味夠，些許紅薑味點綴層次，不會過於單調，蔬菜量偏少，牛筋雜煮稍有偏鹹，牛肉的纖維口感重，感覺更適合炒麵的組合。

🍝咖哩雞肉炒麵（季節限定），鐵板加熱後的梅納反應，香氣十足，麵條口感有嚼勁，沾附上日式咖哩醬汁，雞腿肉軟嫩，推薦。

🧂桌上的調味料用心，包括海苔粉、七味粉、辣油、大阪燒醬等。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
心瑀Ivy,4,1 個月前,"20241122
週五的傍晚到信義商圈走走順便覓食，這家日式炒麵餐廳吸引了我們的目光，因為晚點還要去酒吧放鬆一下所以簡單吃一點東西暖胃🤣
各點一份炒麵與大阪燒，鐵板現做的餐點果然令人食慾大增，才五點用餐人潮不多，坐在吧台位置正好可以欣賞餐點製作過程，品嚐後我們一致覺得大阪燒略勝炒麵一些😂",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
康.喬安,5,4 天前,在吧台上看著師傅製作很療癒，主餐好吃；小點也不錯,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Yin Fan,5,5 個月前,"大阪燒的焦度明顯不一，
加蓋料理又另一種呈現，
第一時間有告知服務人員，
立即成功了解並協助解決。

大阪燒是真的好吃、適合台灣口味！

季節限定咖喱炒麵很好吃！

個人認為為了加速製作，
鐵板加蓋的風味不太好。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Ryan,5,4 個月前,"點了三樣，炒麵，大阪燒，煎餃。
炒麵配牛筋真的很搭，麵條很特別，有別於在台灣平常所吃到的麵條。大阪燒有測溫度才會裝盤，口味層次多，料的種類也很多，整體很美味。煎餃和台灣的不太一樣，裡面汁很多，非常燙口。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
jui chieh yang,4,1 個月前,鐵板燒裡的薑味較重可以少一點就好了，炒麵很好吃很q彈的麵條，跟台灣麵條有差異，會在回來吃的一家店,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Izzy Chiang,5,5 個月前,"不論是大阪燒或炒麵，都很美味，麵體很剛好、恰到好的鍋氣😍趕快收納口袋中
因為看到店員用丸龜麵粉在製作，查了一下，是關係合作（還是相同代理？）",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Jonathan Tsan,4,5 個月前,上菜速度很快！東西口味不錯 不過有點濕跟有點鹹 跟想像中的日式炒麵稍微不太一樣 可能有在地優化 評論有送沙瓦 也還不錯喝 整體算不錯 還會再臨,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
eddie huang,5,4 個月前,"整體來說
炒麵非常具有水準，調味跟烹煮都很完美
大阪燒很好吃，意猶未盡

平日非用餐時間也是很多人",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
chi,1,2 個月前,"先不論東西好不好吃 態度真的有待加強
現場跳號，根本是以秒計算，知道假日很多人，給個人家走路30秒 一分鐘緩衝時間（？）有差嗎？不然給我們QR扣查詢號碼心酸的嗎？還是想趕快跳號營造沒人候位的現象，再讓已經抽過號碼牌的，再抽一次

補上食物結論：普，而且超膩，沒有很好吃，經典牛筋炒麵",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Dan W,2,3 週前,"2025 更新評論

這次去店內熱茶沒了，似乎變成只有冰水，故要了一杯熱水，大約等了 30-40 分鐘以上最後結論是因為鐵板加熱速度緩慢…但基本上如果是這樣的話，還是建議可以跟客人說我們沒有熱水即可…

飲料方面，和服務生表示我們需要更換成不冰常溫的飲料後，過了 20 分鐘以上也沒來，原服務生貌似已經完全忘記此事去忙著收桌擦杯子等等…有點傻眼

—————————————————————-

喔天生為燉蘿蔔控他們的蘿蔔配合牛雜真的好好吃 🥹 大阪燒也有一定水準，也可以選擇是否加美乃滋和調淡口味十分貼心，熱賣茶和湯品可以放在鐵板上保溫設計也很貼心 ♨️",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
alice860261,3,2 個月前,"大阪燒料很足能吃飽，茶碗蒸也很鮮甜，先生很喜歡。
不過我點了蔬菜湯麵，這個非 常 雷！！千萬別點！都叫蔬菜湯麵了本來期望會有滿滿的蔬菜，結果就像我圖片那樣，菜跟菇少到撈一撈收集後能半口吃完的程度。也許底部還有一兩片菜沒撈到但差不多就這樣了。（也不知道以片來形容對不對，不是整片菜是那種你吃火鍋煮到後面菜碎碎你不太會想撈起的碎菜片），沒有想要給菜別取蔬菜湯麵隨意給別人希望啊⋯⋯。不過麵條很Q彈這點倒是真的。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Lydia lee,5,5 個月前,餐廳氣氛佳、坐在吧檯區可看到師傅在鐵板上製作餐點過程，炒麵麵條Q彈好吃，口味不會太鹹，牛肉很軟嫩，大阪燒很嫩，美味好吃，推👍,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
謝宏哲,5,4 個月前,驚豔的小菜及加了辣味增的牛筋炒麵，非常噢一係，下次還要來嘗試其他口味！,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Sarah Lin,5,6 個月前,"Bokkake(牛筋雜煮)經典炒麵 $239
首先我超喜歡他們家的麵條，粗細剛好，炒得很入味，一定要點這個❗️

和風魚介沾麵 $219
是很清爽的沾麵～魚味不重，很適合夏天吃，到如果平常是拉麵喜歡吃魚介口味的人，這應該不是你想要的口味

Bokkake(牛筋雜煮)經典大阪燒 $279
跟在大阪吃的大阪燒還是有些差異，菜不多，層次單調，但能稍微緩解一下想飛去日本的心😂

帆立貝茶碗蒸 $80
茶碗蒸也是必點，雖然有點小貴，但味道很給力很好吃，很適合配炒麵慢慢吃🤤",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Alfred,4,4 個月前,口味跟台灣小吃很接近，特別是滷肉的部分，但調味我覺得有點太鹹。如果坐煎台旁的位置，現場看廚師製作料理很有趣。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Ziza Chiang,5,2 個月前,"炒麵真的超級好吃
不管是海鮮口味還是豬肉叉燒口味都非常喜歡
坐在吧檯可以看到師傅現炒~",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
David Sun,5,6 個月前,"麵體紮實Q彈
食材新鮮度也很OK
招牌的牛筋雜煮口味較偏甜
海鮮炒麵則是非常令人驚艷
如果有朝天椒就更完美了🤣
大阪燒也算是道地好吃
在台灣難得一見
本次已是二訪
還會繼續來試試其他的餐點",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
SIN WANG,5,2 個月前,招牌大阪燒很多菜很棒，廚師已有加調醬，所以加七味粉或海苔粉就剛剛好。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Yi,5,4 個月前,"大阪燒口感偏重～喜歡口味重的朋友很推👍🏼
海鮮炒麵口味剛剛好 食材新鮮
整個空盤行動
配上一杯可樂 超級爽👍🏼",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Simon Kuo,4,3 個月前,"茶碗蒸蛋嫩鮮甜好吃 海鮮大阪燒 歐姆蛋炒麵味道也都不錯
就是吃太多小膩了點",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
tone hector,5,6 個月前,"點了海鮮炒麵+沙拉+味噌湯。
沙拉開胃還可以，味噌湯只有豆腐跟海帶且明顯偏鹹，變成吃麵的時候覺得麵的調味剛剛好（應該也是偏鹹只是被湯蓋過去了），兩隻蝦子+魷魚+小干貝吃起來算豐盛，但以價位來說仍然偏貴一點。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
あずさ,5,4 個月前,"點了雞肉番茄大阪燒，清淡健康好吃
牛筋雜煮的肉滿多的很有誠意，但有點油不太合個人口味
會想再來點其他口味的大阪燒，吧台座位也滿寬敞的不擁擠，推薦不介意等候的人可以來吃看看～！",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
咕咕雞,5,6 個月前,"久久沒吃一樣美味！好懷念的牛筋燉煮！
炒麵再加20元炒進赤味增醬更夠味！
帆立貝茶碗蒸超Q彈👍",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Alvin,5,7 個月前,"2024.07 初訪

牛雜炒麵、麵體Q彈、

牛雜燉煮入味、

牛筋也很Q

煎餃略顯一般、

經典大阪燒（小份）、

麵糊與高麗菜攪拌煎焦脆、

配上牛筋雜煮、

整體評價：⭐️⭐️⭐️⭐️⭐️⭐️⭐️",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
fifi Huang,3,4 個月前,"店裡氣氛還不錯，不時會聽到日文的招呼聲,還有從鐵板竄出來的香味及鏟子的碰撞聲。

不錯：鹽味魷魚足炒麵或Bokkake經典炒麵（平常都選口味淡/不加蛋/不蔥花）,生啤。

一般：Bokkake(牛筋雜煮)經典大阪燒,明太子起司馬鈴薯,梅酒蘇打",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
ChunTing Lee,4,4 個月前,店員親切說明，大阪燒好香好好吃。下次想嘗試關東煮🍢看看💖,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Sherlyn Liu,5,1 個月前,"鹽味魷魚足炒麵+歐姆蛋

麵的份量滿多的，胡椒味明顯，魷魚跟菜都不少，再加上內裡半凝固歐姆蛋，很讚～",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Emma Cheng,5,6 個月前,今天吃季節限定的咖喱雞肉大阪燒299元，不含服務費，鹹度很日式，比較鹹一點，配熱茶剛剛好！加入LINE好友還有送燉白蘿蔔，味道很好，很入味！生日還有生日禮可以領！,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
蔡祥鴻,5,4 個月前,"燉煮豬肉大阪燒+歐姆蛋。煎餃
歐姆蛋搭配大阪燒很美味
煎餃有在水準上但內餡略少美中不足
美食街外用不收服務費",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Yu Chou,5,5 個月前,"加入好友送的蘿蔔牛筋雜煮很好吃！
大阪燒也好吃本體有小碎薑的香氣
料給的蠻實在的
原本只是路過來吃 但吃了以後覺得很值得
會回訪🥸",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Mia Du,5,3 個月前,坐吧台有氛圍，叉燒炒麵+兒童餐大阪燒（牛筋很多）…都很好吃👍,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
M,3,9 個月前,"▲推薦.特製餐點：歐姆蛋魷魚腳炒麵.

個人認為.炒麵比大阪燒好吃.

因為炒麵的麵條是該店自製麵條.

有點像細烏龍.麵條很Q彈.口感非常好👍
.很像台式涼麵很粗的那種.

大阪燒跟韓式的蔬菜煎餅幾乎一樣.差別在於大阪燒上面還有擠沙拉醬與大阪燒醬跟主料.

至於口味.個人覺得就是大阪燒跟日式炒麵.
印象中好像在日本大阪燒跟日式炒麵.每家感覺都差不多.

沒有像日式拉麵那般.有不同的驚艷與獨特風味特色.

其他餐點就一般般.沒有一點想加點的感覺.

新推出的煎餃子還不如吃八方雲集鍋貼.

內行的應該知道.日本對於煎餃的內餡一直都是讓人很疑惑不解的.
就是口味清淡餡料很少.
吃了懷疑人生.不吃一次又好奇.
但每次點都是失望收場.

再來套餐就不建議浪費錢了.沙拉實在是很極簡風.像小學生會做的那樣簡單.味噌湯也是走簡約清淡路線.明說吧.有吃跟沒吃實在一樣😅

結論：

1.沒吃過大阪燒的可以點主打的*牛筋雜煮大阪燒.
嚐嚐風口味口感.
其實裡面就是高麗菜.玉米粒.紅薑碎.麵糊.雞蛋.大約一碗飯的份量.
上面放了牛肉.牛筋.跟蒟蒻.大阪燒醬.沙拉醬.鰹魚等

2.建議點份特製餐點：歐姆蛋魷魚腳炒麵.吃吃就好了把其他543的餐點費用省下.集中費用點這個就好.

3.內場員工人數夠.但外場人員視乎不夠.可能因為點餐有了條碼點餐所以減少了外場人員.
這出現了很多問題.

（1）點餐系統有點容易出錯.不熟悉系統的容易下錯單.跟加點套餐好像沒有在點餐系統裡面.
至於特製搭配餐點也沒有在系統裡.不知是我不會用還是系統問題.😅個人是直接跟外場講.

（2）外場人員不足.導致服務品質不足.常常看客人在找外場人員.

（3）外場.要結帳.又要服務客人.又要解說.臨點.送餐.收餐.人數實在太少.建議商家能調整一下人員配置.

（4）特製組合餐點與套餐並沒有特別說明.只有在牆上的海報.這也可能是我沒有弄清楚點餐系統裡面的項目吧？

4.建議先拿份實際的菜單.詳細看完～～再用手機點餐系統點餐.這樣比較不會點很久

5.建議中午11:30.12點前去.不然12點後人很多.要等很久.因為大阪燒要煎大約10幾分鐘

6.所有麵類可以加點一個80元的歐姆蛋在麵上。

7.注意：選擇內用座位要候位，還要加10%服務費，不想等內用位置的人可以選擇外用（在美食區的共用餐桌吃）。

8.其他評論有注意到：
第一次到訪的人可以加入會員，會送入會禮，醃蘿蔔，可當場使用，這個是先點後結帳時核銷，不過因為醃蘿蔔產生的服務費不會核銷，約10元而已。google評論有一瓶沙瓦兌換卷，不過限下次使用！
可以使用現金、信用卡、Google pay 。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Eric Hsi,4,8 個月前,"終於終於終於在台灣吃到比較像樣的大阪燒。
平日中午一點前排了不到三分鐘就可進場，看到面前的一大盤牛筋蒟蒻，就點牛筋大阪燒好了。席間看到師傅現場炒麵滋滋有味，心想下一次要品嚐一下這裡的炒麵。
有任意取用的辣粉，海苔粉，美乃滋，大阪燒醬汁，嗯，真是大方。比起之前去過幾家類似的店，都是要再請店員外加，而每次只是一點點，深怕客人享用的壞印象好多了。
大阪燒很美味，加了外加調味料偏甜鹹，有免費冰水可享用。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Joy,4,9 個月前,"Bokkake(牛筋雜煮)經典大阪燒$279
Bokkake(牛筋雜煮)歐姆蛋$180
Bokkake(牛筋雜煮)$90
升級套餐(例湯*1、胡麻沙拉*1)$70

接近午餐時間過來吃個午餐，還有吧檯座位，試試看吧!

服務人員態度都很好，廚師們態度也很好，在面前炒麵的廚師乾淨俐落，鐵板燒台面也都整理得很乾淨，拍影片時還貼心地將醬料桶稍微移位，有點可愛。

有紙本菜單參考再用QR CODE點餐，餐點全部上齊後突然發現全部都是點了招牌牛筋雜煮(笑~)，點餐時還真沒注意到。

Bokkake(牛筋雜煮)，一上菜就看著香，深濃的顏色，主要是牛筋，牛肉只有一兩塊，還有蒟蒻切丁，味道挺不錯但是多吃一些會覺得有點鹹，是重口味的代表。

Bokkake(牛筋雜煮)歐姆蛋，是歐姆蛋裏頭包了牛筋雜煮，歐姆蛋挺嫩的，搭上裏頭的牛筋雜煮感覺沒那麼鹹了。

Bokkake(牛筋雜煮)經典大阪燒，最晚上菜的一道，底下墊著加熱過的鐵板來保持大阪燒的溫度，大阪燒表面鋪滿了牛筋雜煮、柴魚還有蔥花，熱熱的吃真的挺不錯。

套餐的例湯跟胡麻沙拉表現中規中矩，味噌湯味道偏重，胡麻沙拉的生菜頗大一片。

吧檯座位椅子底下可以放包包，還不錯。但吧檯位子不是很舒服，尤其是膝蓋。第一個座位靠櫃台服務人員快速進出時，門片有時會撞到椅子，有點困擾。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Jolie,5,6 個月前,無意間看到這家神戶來台灣駐點的餐廳，很興奮，點了不少菜，都很好吃，就是日本道地的口味，有一秒到日本🇯🇵的feel，希望台中也有分店🤭,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
blackbubu,3,8 個月前,"招牌牛肉大阪燒，口味偏平淡，沒有大阪吃到的有層次，加上旁邊的海苔粉好一點，但比較像在吃章魚燒😆
辣豬炒麵口感比一般吃到的日式炒麵更Q彈，口感不錯但這口味我覺得普通，辣味蓋過甜味，下次應該會挑別種～",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
陳蓁,5,7 個月前,"是近期吃過很好吃的大阪燒和日式炒麵👍
經典大阪燒$279 牛筋很軟嫩，調味適中不會太鹹
番茄雞肉炒麵$249 麵Q調味超好吃～也不會太酸，值得再訪 …",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
winni jeng,4,7 個月前,大阪燒基底很好吃，而且可以自己加醬、美乃滋、海苔粉、七味粉很讚，口味推薦點招牌牛，豬的肉又乾又鹹不推，明太子起司馬鈴薯很好吃，煎餃🥟很普通偏油，蘿蔔是➕line好友送的。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Sean Tsai,4,7 個月前,推薦經典大阪燒，牛肉的比豬肉好吃，牛筋好吃，但整餐吃下來會感覺偏油，建議可以搭配熱麥茶解膩，煎餃很普通，掃碼點餐，加入line新會員有送蘿蔔，明太子起司馬鈴薯很不錯,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
黃新凱,4,7 個月前,"雖然可以理解或許是還原日本當地的味道，不過，真的是偏鹹，經典燉煮豬肉炒麵、豬肉大阪燒、燉煮牛筋牛雜，三樣菜都算好吃，炒麵麵條是自家製，而且是當場燙熟，有嚼勁，豬肉或是牛肉都算嫩，牛筋更是軟嫩，但三道菜實在是有點鹹，狂喝三杯水，還是覺得鹹。建議店家，既然是掃碼點餐，是否可以在菜單上增加口味濃淡的選項，讓喜好淡一點口味或是有健康考量的客人，有更適合的選擇？
鐵板炒麵或是大阪燒，都是在鐵板上作業，炒菜的煎匙每用過一次就會清洗或是換新的，衛生有加分。
不過，用來刮除清理鐵板上沾黏鍋粑的特製鐵鏟，似乎不夠平整，導致鐵板表面滿滿都是刮痕，而刮痕就容易藏汙納垢，很難用一般抹布或是刷子清乾淨。建議店家是否將鐵鏟重新打磨平整，也將作業的鐵板表面重新磨平，避免刮痕細溝內藏汙納垢。
人員服務還OK，不過不知道是因為點大阪燒的客人太多或是疏忽忘了備料，今天炒麵很早就上了，大阪燒卻晚了十幾二十分鐘才上。
價格，老實說跟台灣多數的炒麵來比當然是貴得多，不過在百貨公司美食街嘛，均價兩百以上也是可以理解，餐點分量尤其炒麵算足夠，所以CP值算及格。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
游雅涵,5,6 個月前,"招牌-經典炒麵
麵條Q彈，蔬菜爽脆，調味適中，不會太鹹
值得大推👍

兒童大阪燒
外酥內軟、爽口不油膩，柴魚很香！",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
柳邯,5,5 個月前,"Bokkake 歐姆蛋炒麵好吃～
牛筋雜煮味道很不錯，也不會太鹹
大阪燒就比較平平～

現在留言評論送檸檬沙瓦！",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
R,5,1 個月前,大阪燒 麵 相當美味 結帳服務人員相當友善 美好的用餐時光,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Nick Yang,4,7 個月前,位於信義A11美食街，要抽號碼牌排隊，坐吧臺可以看到廚師在鐵板面前炒麵做大阪燒還有製麵，燉煮豬肉炒麵比Bokkake經典炒麵好吃也比較入味，滷味超級入味可能對一些人來說有點鹹，但都很好吃。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
許詠婷,5,7 個月前,"之前來逛A11這家來台灣新開一陣子而已，很好吃價格也很實在，大家都說好吃有些點一樣的就沒有重複拍，麵口感非常好生意也不錯平日一下子就客滿

來A11是為了寶可夢中心，沒想到意外吃到那麼好吃的店，愛了愛了",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
許宥閎,5,3 個月前,"好吃！經典炒麵味道很夠，又不容易膩
加Line好友就送燉蘿蔔
放棄一蘭是對的🤣",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
劉彥志,5,8 個月前,炒麵跟大阪燒都好吃，炒麵的麵條很Q彈，大阪燒跟在日本吃也很接近，還有日式美乃滋、海苔、醬料可以自由添加，今天看到還有沾麵，也點了沾麵來吃，整體來說炒麵最好吃，可能內用座位有限，等的時間稍微久一點，其他都不錯👍,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Hu Zi,5,6 個月前,"點了起司玉米跟番茄雞肉炒麵，看起來很澎湃！！

燉煮也很好吃🥳有白飯配就太讚～",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Dash CHUNG,4,10 個月前,日式炒麵很有日式風味，麵體特別，口感彈牙，歐姆蛋料理時間是在合宜的時候，不會過生或熟，搭配炒麵吃別有一番風味。個人建議可以多加餐廳提供的美乃滋及海苔粉搭配使用。大阪燒吃起來會比較乾，建議可以點杯飲料搭配食用。燉蘿蔔口味不錯，會淋上牛肉煮，有肉也有筋，可以中和味道比較重的主食，可以當作解膩使用的小菜。整體而言，口味行，座位偏少，等待時間可能會需要等待一些時間。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Amos Hsu,4,8 個月前,"很有味道的掛簾，用左手推開後入場很有日本味。這次坐在板前看師傅在面前製作炒麵跟大阪燒，手法跟鐵板燒有點不同。 大概多是料理澱粉類食物的手法差異吧。
大阪燒風味十足，用料很紮實，相當好吃。同事點的炒麵也頗受好評。加點的明太子馬鈴薯就沒什麼記憶點了。
用餐環境稍感雜亂，瓶罐箱子頗多，這是要模擬庶民風嗎？😄",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Wunsin Chou,5,9 個月前,"✨Bokkake歐姆蛋炒麵 （$319）
歐姆蛋非常軟嫩！劃開後滿滿的蛋香，上面有淋大阪燒醬+美乃滋，美乃滋是日式的比較偏酸（但個人比較愛台式偏甜的🤤）
原本怕口味會比較重鹹，但其實意外的不會過鹹，醬香很濃郁，麵體也是很Q 彈的日式炒麵，有點類似蕎麥麵🍜
牛筋也是滿滿醬香，燉的很嫩！
小缺點是因為是炒麵所以油也用得比較多，雖然不會很鹹但吃到後面還是覺得有點膩。

✨Bokkake經典大阪燒（$279）
麵糊的味道蠻重的沒有到很愛！但裡面的高麗菜很爽口，搭配美乃滋也增添一些清爽的味道～💗
但相較起來還是比較愛炒麵

⚠️炒麵&大阪燒都有加蒟蒻塊，我是覺得不加分不扣分，但原本以為是牛筋🤣結果咬下去才發現不是
不愛蒟蒻塊的可能要避開！

✨升級套餐-每日例湯+沙拉（$70）
蠻普通的味增湯，配料只有豆腐跟海帶，沙拉的吐司塊好多，沒有很愛🥹除非很想喝湯+吃沙拉
不然沒有到很必要加點

-
🍻推薦指數：🍥🍥🍥🍥
🍻整體心得：
當天19:00到店外掃QR CODE 候位，大約19:15就進去了～
店內整體的氛圍很適合跟朋友下班揪去吃炒麵！店員都很親切，店內還有賣酒類飲品，有比較適合女生喝的水果風味沙瓦，下次會想要嘗試看看💓

用餐日期：2024.5.9",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Jenny Huang,5,7 個月前,"炒麵和大阪燒都很好吃
服務人員態度親切
店內座位寬敞，裝潢明亮，用餐氣氛舒適",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Lulu Nova,5,6 個月前,"我先生點牛筋炒麵+荷包蛋套餐，我點牛筋大阪燒+歐姆蛋去沒乃滋套餐，2杯生啤酒
牛筋燉煮的口感和鹹甜味都剛剛好，量也給夠，炒麵有彈性，入味，高麗菜脆口，荷包蛋煎很美～
大阪燒用料紅薑給很足，高麗菜混合的粉和蛋很細滑，上面撒的柴魚也很細嫩（我很怕大片的老柴）牛筋雜煮與大阪燒居然超合契！
我點的歐姆蛋是不加沒乃滋的，因為我喜歡自己加～（桌上有大阪燒醬和沒乃滋，海苔粉辣椒粉）
我先生看這麼一大份以為我會吃不完..
哈我吃完了還喝了一杯Asahi～🍺🍺
比我在日本吃到的還要精緻好吃！！👍😋",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Booklin Wu,4,5 個月前,"番茄雞肉炒麵是真的很好吃
不過最後結帳時沒有注意餐點明細
回家後才發現被多收了150元的費用⋯
看完評論發現入會禮的燉蘿蔔
和評論送的檸檬沙瓦
也會被收取清潔費10%
應該蠻多人不會注意到
希望這點之後服務生也能多提醒一下客人

不過算了一下就算扣除清潔費還是被多收100元",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
詠晨（紫玴）,5,6 個月前,"【初訪】
之前常常路過都很多人，
來體驗第一次的大阪燒，
搭配上檸檬沙瓦🍸
個人蠻喜歡的💖

下次想要再來",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
楊璨華,5,5 個月前,抽號碼牌，大家小心過號，口味淡一點對我們來說很剛好，好好吃ㄏ,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Melody Lan,4,9 個月前,"好吃的日式炒麵跟大阪燒餐廳，建議可以以日式炒麵為主，然後大阪燒分享為輔。

QR code點餐，我建議點大阪燒的時候不要加美乃滋，因為座位上都有，你可以到餐之後自己再決定要加多少，如果吃不習慣美乃滋的人，不加美乃滋也很夠味。

生意很好，所以記得早點去用餐或者先領號碼牌候位哦。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
